epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB
0,1.2024594000104116,0.0,nan,nan,1.011797160411453,1.0188223624471475,0.9994549559624064,1.0261473295307184,1.0290257997925794,1.0201701138354975,1.5318796379788786,"[6.0, 1.0188223624471475, 1.0188223624471475, 1.0261473295307184, 1.0290257997925794, 3.030074478821007, 1.0201701138354975, 1.5318796379788786, 377760]",1.727464199066162
1,3.1352445000084117,0.00019716996643689944,9.91678249835968,1.0371069684624672,1.00025158852841,0.9988402332095012,0.9879655044360297,1.0074680723293352,1.0089112754417449,1.0096158584217747,1.4372455773110404,"[6.0, 1.00025158852841, 1.00025158852841, 1.0074680723293352, 1.0089112754417449, 2.987057326173941, 1.0096158584217747, 1.4372455773110404, 377760]",1.8359403610229492
5,7.806539299999713,0.000985849832184497,7.323672115802765,5.369968205690384,0.9403361896956849,0.7864194387367769,0.5161236313028039,1.0197014462791956,1.0362000075048459,0.9996234971593608,5.992539461216023,"[6.0, 0.9403361896956849, 0.9403361896956849, 1.0197014462791956, 1.0362000075048459, 2.2428792597352656, 0.9996234971593608, 5.992539461216023, 377760]",1.8359403610229492
10,13.727813799996511,0.000985849832184497,3.8166904747486115,5.276605248451233,0.8231510555190902,0.49225472553351085,0.44125570603111586,0.9607433992353483,0.9907822532576772,0.8874922814287776,7.441222693428748,"[6.0, 0.8231510555190902, 0.8231510555190902, 0.9607433992353483, 0.9907822532576772, 1.756661487083717, 0.8874922814287776, 7.441222693428748, 377760]",1.8359403610229492
15,19.432983300008345,0.000985849832184497,2.377762347459793,8.785038232803345,0.5827465298703425,0.26067232471515134,0.28801457841188416,0.6168361110925694,0.623825906040447,0.7730341833163337,4.9062232726396235,"[6.0, 0.5827465298703425, 0.5827465298703425, 0.6168361110925694, 0.623825906040447, 1.1314334329973779, 0.7730341833163337, 4.9062232726396235, 377760]",1.8359403610229492
20,24.96380830000271,0.000985849832184497,1.1802847385406494,7.211885869503021,0.35660826852836175,0.4386841427722733,0.3283890718383893,0.48898035116517696,0.49646775962471995,0.7966852438394246,6.9134941590802415,"[6.0, 0.4386841427722733, 0.4386841427722733, 0.48898035116517696, 0.49646775962471995, 1.1236814831390243, 0.7966852438394246, 6.9134941590802415, 377760]",1.8359403610229492
25,30.579400100003113,0.000985849832184497,2.3871878385543823,7.253413051366806,0.3588519549376869,0.20433325362850357,0.2296828198610459,0.36466993156499306,0.3658380436157146,0.7438059683408257,5.229466533126037,"[6.0, 0.3588519549376869, 0.3588519549376869, 0.36466993156499306, 0.3658380436157146, 0.7928680284272364, 0.7438059683408257, 5.229466533126037, 377760]",1.8359403610229492
30,35.95157279999694,0.000985849832184497,0.7613688930869102,3.8817612528800964,0.2471502188368806,0.14747853778004352,0.15163267200570354,0.25623006533904613,0.2594473519481322,0.7077214831260279,3.8716665730376363,"[5.0, 0.2471502188368806, 0.2471502188368806, 0.25623006533904613, 0.2594473519481322, 0.5462614286226277, 0.7077214831260279, 3.8716665730376363, 377760]",1.8359403610229492
35,41.83030260000669,0.000985849832184497,0.7736809030175209,3.860527515411377,0.23163727850050758,0.15063391391746817,0.1561332051695757,0.23906288920584173,0.2537927784174736,0.6994974584953644,3.1502077693319537,"[5.0, 0.23163727850050758, 0.23163727850050758, 0.23906288920584173, 0.2537927784174736, 0.5384043975875514, 0.6994974584953644, 3.1502077693319537, 377760]",1.8359403610229492
40,47.44406360000721,0.000985849832184497,1.1091033443808556,5.200724467635155,0.2868967400343889,0.30602659923788,0.2621023516916209,0.35408588127158924,0.3767605337402795,0.6950011847750043,2.8653431191653413,"[6.0, 0.30602659923788, 0.30602659923788, 0.35408588127158924, 0.3767605337402795, 0.8550256909638898, 0.6950011847750043, 2.8653431191653413, 377760]",1.8359403610229492
