epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB
0,1.1314370000036433,0.0,nan,nan,1.0001824470336078,0.9965903503411575,1.001900807083794,1.0024417076784096,1.002876691755456,1.0056241838653854,0.0005569395621586678,"[6.0, 1.001900807083794, 1.001900807083794, 1.0024417076784096, 1.002876691755456, 2.9986736044585593, 1.0056241838653854, 0.0005569395621586678, 377760]",1.7278122901916504
1,6.123795599996811,0.00019716996643689944,9.902072429656982,0.49770335853099823,0.9978164547887572,0.9923662062069605,0.9946021073526734,1.0007138305897874,1.0012715821652003,1.0036479929789153,0.0021852001559300484,"[6.0, 0.9978164547887572, 0.9978164547887572, 1.0007138305897874, 1.0012715821652003, 2.984784768348391, 1.0036479929789153, 0.0021852001559300484, 377760]",1.8359789848327637
5,23.4321506999986,0.000985849832184497,7.3875521421432495,0.39166477508842945,0.9504735990574186,0.8136429907467633,0.517961652580229,1.004889936133418,1.015609867301797,0.9896396463874544,0.11003964751617329,"[6.0, 0.9504735990574186, 0.9504735990574186, 1.004889936133418, 1.015609867301797, 2.2820782423844106, 0.9896396463874544, 0.11003964751617329, 377760]",1.8359789848327637
10,51.057775799999945,0.000985849832184497,3.7716101109981537,0.17032016720622778,0.8363992860265755,0.409383597340925,0.34043267451841597,0.9725875321477823,1.0009128707318562,0.7841353179759771,0.05749244320727494,"[6.0, 0.8363992860265755, 0.8363992860265755, 0.9725875321477823, 1.0009128707318562, 1.5862155578859165, 0.7841353179759771, 0.05749244320727494, 377760]",1.8359789848327637
15,76.31763320000027,0.000985849832184497,2.5776801109313965,0.17308954522013664,0.5983089403627587,0.24790600485864125,0.22078954529822692,0.6956160403202822,0.7158524381495921,0.7356921462122413,0.03326789259701802,"[6.0, 0.5983089403627587, 0.5983089403627587, 0.6956160403202822, 0.7158524381495921, 1.067004490519627, 0.7356921462122413, 0.03326789259701802, 377760]",1.8359789848327637
20,100.33226290000312,0.000985849832184497,1.2098346948623657,0.16399145917966962,0.36895797759196935,0.2293419524295925,0.2203210867448082,0.4343965562410595,0.4481214115853026,0.7204739281034055,0.028633649902871153,"[6.0, 0.36895797759196935, 0.36895797759196935, 0.4343965562410595, 0.4481214115853026, 0.81862101676637, 0.7204739281034055, 0.028633649902871153, 377760]",1.8359789848327637
25,122.74267229999532,0.000985849832184497,1.0260169431567192,0.09692597016692162,0.24832688301262043,0.17000541756008428,0.16240680544498864,0.289880666284484,0.2985455439265278,0.7109019376355845,0.03991035411950885,"[5.0, 0.24832688301262043, 0.24832688301262043, 0.289880666284484, 0.2985455439265278, 0.5807391060176934, 0.7109019376355845, 0.03991035411950885, 377760]",1.8359789848327637
30,144.25382949999766,0.000985849832184497,0.8224891126155853,0.05422651534900069,0.2036221797596405,0.17726263067872014,0.13568715029208098,0.22722166316532982,0.23200687754352214,0.7028859086811151,0.04318283246614038,"[4.0, 0.2036221797596405, 0.2036221797596405, 0.22722166316532982, 0.23200687754352214, 0.5165719607304416, 0.7028859086811151, 0.04318283246614038, 377760]",1.8359789848327637
35,165.75277520000236,0.000985849832184497,0.846020057797432,0.06536542670801282,0.22377299085054153,0.14882639527158975,0.14588710922437406,0.26207655782350703,0.27008134317367893,0.6998018741482803,0.04355004616315168,"[5.0, 0.22377299085054153, 0.22377299085054153, 0.26207655782350703, 0.27008134317367893, 0.5184864953465054, 0.6998018741482803, 0.04355004616315168, 377760]",1.8359789848327637
40,186.62515449999773,0.000985849832184497,0.6899922974407673,0.06469171331264079,0.22966913391820973,0.21703784897044895,0.1805336655961479,0.3059584465458479,0.32388733933985125,0.7041280704951788,0.0437638558695673,"[6.0, 0.22966913391820973, 0.22966913391820973, 0.3059584465458479, 0.32388733933985125, 0.6272406484848065, 0.7041280704951788, 0.0437638558695673, 377760]",1.8359789848327637
