epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,gradient_norm,residual_gate,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,hard_BC_max_abs,finite
0,0.534697099996265,0.0,1.066879391670227,0.27314722537994385,0.7334504723548889,0.0004080443468410522,0.2407185584306717,0.0,0.5,1.6295997164273792,1.847062110900879,0.2865002155303955,0.1538991928100586,0.048195380717515945,0.8064587712287903,0.7384871244430542,0.5091260075569153,0.49642977118492126,0.8245168924331665,0.7765821218490601,0.9978297352790833,0.9809062480926514,0.9925214052200317,0.003841984455124692,0.2202539825998092,0.0,True
1,0.9748378000003868,0.00016,1.066879391670227,0.27314722537994385,0.7334504723548889,0.0004080443468410522,0.2407185584306717,0.15304574370384216,0.5,1.62950811153894,2.049405574798584,0.28644734621047974,0.153889998793602,0.04818148538470268,0.8064463138580322,0.7384803891181946,0.5091139078140259,0.4962563216686249,0.8242160677909851,0.776517927646637,0.9978057146072388,0.9808847904205322,0.9925118684768677,0.003841984455124692,0.2202539825998092,0.0,True
5,1.4437113000021782,0.0008,1.0646445751190186,0.2713286578655243,0.7330343127250671,0.0004080443468410522,0.2407185584306717,0.17249731719493866,0.5004422664642334,1.6271851210916572,2.049405574798584,0.28516799211502075,0.1536775678396225,0.0478568896651268,0.8060964345932007,0.7383029460906982,0.5086280107498169,0.4922160804271698,0.8171123266220093,0.7747592329978943,0.9968718886375427,0.9803513288497925,0.9922602772712708,0.003841984455124692,0.2202539825998092,0.0,True
10,1.9892098999989685,0.0008,1.0424250364303589,0.2535773813724518,0.72856605052948,0.0004080443468410522,0.2407185584306717,0.48187583684921265,0.501280665397644,1.6088184676194721,2.049405574798584,0.275045782327652,0.15209358930587769,0.04527490213513374,0.8036065101623535,0.7371206879615784,0.504143238067627,0.46084368228912354,0.7592639923095703,0.7602801322937012,0.9885427355766296,0.9771930575370789,0.990635335445404,0.003841984455124692,0.2202539825998092,0.0,True
15,2.5478625999967335,0.0008,0.9555287957191467,0.1806502789258957,0.7145968675613403,0.0004080443468410522,0.2407185584306717,1.0012834072113037,0.5022125840187073,1.5429705119753414,2.049405574798584,0.23746052384376526,0.14697910845279694,0.034323494881391525,0.7968555688858032,0.7338290810585022,0.4897921681404114,0.3408428728580475,0.500773012638092,0.721217930316925,0.9626304507255554,0.970984935760498,0.9864696264266968,0.003841984455124692,0.2202539825998092,0.0,True
20,3.0980110000018612,0.0008,0.86571204662323,0.12477180361747742,0.6806585788726807,0.0004080443468410522,0.2407185584306717,0.30967000126838684,0.5032750368118286,1.483796786429935,2.049405574798584,0.21737588942050934,0.14580799639225006,0.02621646597981453,0.7826213836669922,0.7262929677963257,0.4519405663013458,0.28195515275001526,0.27317875623703003,0.7197978496551514,0.8939400315284729,0.9667140245437622,0.9773914813995361,0.003841984455124692,0.2202539825998092,0.0,True
25,3.6693115000016405,0.0008,0.8305332660675049,0.12257511168718338,0.6476765275001526,0.0004080443468410522,0.2407185584306717,0.6540895104408264,0.5043994784355164,1.4613157826537424,2.049405574798584,0.21707767248153687,0.1455783098936081,0.025950783863663673,0.7679672837257385,0.7210148572921753,0.42849794030189514,0.2792598009109497,0.26590606570243835,0.718037486076355,0.8517053723335266,0.9677398800849915,0.9710211157798767,0.003841984455124692,0.2202539825998092,0.0,True
30,4.222643200002494,0.0008,0.8341184854507446,0.1216500923037529,0.6521867513656616,0.0004080443468410522,0.2407185584306717,2.84409499168396,0.505478024482727,1.4575041866922909,2.049405574798584,0.21750792860984802,0.14528770744800568,0.02574140951037407,0.7646610736846924,0.7193810343742371,0.4259542226791382,0.27324894070625305,0.2673031985759735,0.7159983515739441,0.8483182191848755,0.9643718004226685,0.9690740704536438,0.003841984455124692,0.2202539825998092,0.0,True
35,4.843143599995528,0.0008,0.8064355850219727,0.12094143033027649,0.6252124905586243,0.0004080443468410522,0.2407185584306717,1.0611323118209839,0.5064938068389893,1.4451011902714306,2.049405574798584,0.2175753265619278,0.145436629652977,0.025645148009061813,0.7588943839073181,0.7161669135093689,0.4098889231681824,0.26961949467658997,0.2664850354194641,0.715374231338501,0.8196496367454529,0.9551650881767273,0.9650789499282837,0.003841984455124692,0.2202539825998092,0.0,True
40,5.476207100000465,0.0008,0.7966276407241821,0.1206570565700531,0.6156889200210571,0.0004080443468410522,0.2407185584306717,0.4585070312023163,0.5075428485870361,1.4370919427896076,2.049405574798584,0.217701718211174,0.14522919058799744,0.025644470006227493,0.7535621523857117,0.7134682536125183,0.4020647704601288,0.26905161142349243,0.2675716280937195,0.7140177488327026,0.8061659336090088,0.947325587272644,0.9618343710899353,0.003841984455124692,0.2202539825998092,0.0,True
