epoch,elapsed_s,lr,train_data_loss,train_physics_loss,selection_key,peak_vram_GiB
0,2.984048600003007,0.0,0.0,0.0,"[6.0, 1.0064494609832764, 1.0064494609832764, 1.0195943474769593, 1.029611349105835, 2.999533474445343, 1.0548902750015259, 0.025848899592498007, 377760]",4.042285442352295
1,20.362147399995592,0.00019716996643689944,1.0452410506039131,0.06955010196472314,"[6.0, 0.9646599292755127, 0.9646599292755127, 1.013640010356903, 1.0161536931991577, 2.784009099006653, 1.0107098817825317, 0.06109323937580641, 377760]",4.114851951599121
2,35.61673160000646,0.0003943399328737989,0.7523612961536501,0.06344708593372538,null,4.114851951599121
3,50.652014399995096,0.0005915098993106982,0.41719907122414285,0.08042023438868388,null,4.114851951599121
4,65.65205960000458,0.0007886798657475978,0.348026503513499,0.12151154835968245,null,4.114851951599121
5,82.93757370000822,0.000985849832184497,0.17699012832670677,0.295078007665258,"[6.0, 0.3163100779056549, 0.3163100779056549, 0.5265138030052186, 0.5635759830474854, 0.8100416213274002, 0.7498682141304016, 0.06563036363540842, 377760]",4.114851951599121
6,97.88635570000042,0.000985849832184497,0.12147593425541389,0.34092129009793387,null,4.114851951599121
7,112.75371509999968,0.000985849832184497,0.08397530900632463,0.08141439478268006,null,4.114851951599121
8,127.58749510000052,0.000985849832184497,0.07678653090828802,0.12556782973563424,null,4.114851951599121
9,142.56786350000766,0.000985849832184497,0.06881339448254283,0.11865153003054729,null,4.114851951599121
10,159.65701949999493,0.000985849832184497,0.06846670074978979,0.14084397839422574,"[2.0, 0.14492107927799225, 0.14492107927799225, 0.19968174546957015, 0.2284919172525406, 0.3214900493621826, 0.7052856683731079, 0.1284301053329282, 377760]",4.114851951599121
11,175.4268180000072,0.000985849832184497,0.06948182913588315,0.10626506034802843,null,4.114851951599121
12,191.6903009999951,0.000985849832184497,0.0785127519289168,0.07567413171372897,null,4.114851951599121
13,207.39928139999392,0.000985849832184497,0.07116025631747595,0.11213291335404459,null,4.114851951599121
