epoch,elapsed_s,learning_rate,loss_total,loss_q,loss_qdot,loss_variational,loss_q_physical32,loss_qdot_physical32,effective_physics_weight,loss_observation_displacement,loss_observation_velocity,gradient_norm,data_gradient_norm,physics_gradient_norm,data_physics_gradient_cosine,reduced_q_relative_l2,reduced_qdot_relative_l2,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,variational_weak_median,variational_weak_p90,hard_BC_max_abs,finite,peak_vram_GiB
0,0.33846839999750955,0.0,2.98264479637146,1.0452675819396973,1.0325993299484253,58.8684196472168,1.0796769857406616,1.0379509925842285,0.0,1.3645018339157104,1.0887359380722046,0.0,6.786579608917236,nan,nan,1.0782554362733123,1.0293632633272911,1.3967740741457324,0.9389801202337521,1.1228727473142635,1.0816491483779505,1.050753613647187,0.9960722405649017,1.0988605907541384,1.337476914612417,6.603308987785806e-17,True,0.10548591613769531
1,0.5975172000034945,0.0002,2.98264479637146,1.0452675819396973,1.0325993299484253,58.8684196472168,1.0796769857406616,1.0379509925842285,0.0,1.3645018339157104,1.0887359380722046,6.7865800857543945,6.786579608917236,nan,nan,1.059047821818616,1.0226729208887129,1.2755399790097806,0.9270228029947324,1.101900021441496,1.0661642006966692,1.0427846252073367,0.9935495800948289,1.084489401704758,1.2813155729041978,6.928565279946818e-17,True,0.13743257522583008
5,0.8146695000032196,0.001,2.1608715057373047,1.049460530281067,1.0292822122573853,112.8671646118164,1.0173122882843018,1.0194493532180786,0.0,0.7017568945884705,0.949924111366272,2.6966381072998047,2.6966381072998047,nan,nan,0.8334201868929492,0.9449005656987233,0.8120924469885795,0.7405074633139788,0.8640927893958368,0.9236519744120562,0.9580023923460256,0.9553737969545467,0.7847262081856101,0.9006188679934793,1.2110339069264292e-16,True,0.13743257522583008
10,1.0310246000008192,0.0009973620807194618,1.6548734903335571,1.0463250875473022,1.0291638374328613,128.36978149414062,0.8833587169647217,0.9721843004226685,0.0,0.4154154062271118,0.7755722999572754,1.7321527004241943,1.7321525812149048,nan,nan,0.6586240247552513,0.8433086107187033,0.5791800736617592,0.5297414824183087,0.6983843369201288,0.8592799027933126,0.8649773303320875,0.8826951798125977,0.7815635263304219,1.1389643315826152,1.2870028186008168e-16,True,0.13743257522583008
15,1.2511299000034342,0.000989479250069539,1.3073527812957764,1.1053718328475952,1.0477502346038818,259.8108825683594,0.7302820682525635,0.899151623249054,0.0,0.2209177166223526,0.679076611995697,1.3866338729858398,1.3866339921951294,nan,nan,0.4819516762290343,0.7569467020419454,0.39800914395912157,0.3969549831107336,0.5071315663737,0.8240682929496775,0.7988253033456802,0.8008672273326546,0.8619860972781112,1.7015208993138107,2.1130298660191098e-16,True,0.13743257522583008
20,1.4606660999997985,0.0009764439270322612,0.9626681804656982,1.17645263671875,1.0675084590911865,316.0144348144531,0.49823999404907227,0.7888664603233337,0.0,0.08226212859153748,0.5586293935775757,0.8479498624801636,0.8479499220848083,nan,nan,0.18575167871561418,0.6472302430689139,0.35776832780117945,0.20132333137780759,0.17770091803010016,0.7725447784104728,0.7591747777058448,0.6596367170239051,0.3490109909458616,2.160727147210108,2.740757957322964e-16,True,0.13743257522583008
25,1.688491699998849,0.0009584089388519307,0.7570708990097046,1.2946544885635376,1.098605751991272,282.8612365722656,0.3096676766872406,0.6321431994438171,0.0,0.07708907872438431,0.44452914595603943,1.2653508186340332,1.2653508186340332,nan,nan,0.23214354162795278,0.5102082829654454,0.32544331725234177,0.23774192407975692,0.22924145228386864,0.7295874421517949,0.7263691308006839,0.46503671533773483,0.4188720291863956,3.0201767211896606,2.7598849918615464e-16,True,0.13743257522583008
30,1.9302981000000727,0.0009355857292754152,0.5888592004776001,1.233639121055603,1.102096438407898,220.5791473388672,0.21822009980678558,0.4984090030193329,0.0,0.037979982793331146,0.37172195315361023,0.4924654960632324,0.49246546626091003,nan,nan,0.13353056553985052,0.44787846710085566,0.2624408329322718,0.16994090902628206,0.11453393737655702,0.6747833108979508,0.7034228674521117,0.3744563274955863,0.248031736230591,3.007058325535745,2.6163406531329116e-16,True,0.13743257522583008
35,2.1716078000026755,0.0009082418795675396,0.5041396617889404,1.2426425218582153,1.1040476560592651,160.50331115722656,0.15525589883327484,0.4153582751750946,0.0,0.030515749007463455,0.3309704065322876,0.4909885823726654,0.4909886121749878,nan,nan,0.11375944963195789,0.4160839430427373,0.23347606183292832,0.14719091518816,0.09543799027572705,0.6383933529087238,0.6763863282822888,0.3294760454690096,0.2287500709781878,1.7106201552059053,2.7016604915618175e-16,True,0.13743257522583008
40,2.4500771000020904,0.0008766979713654089,0.43957167863845825,1.2791043519973755,1.1124017238616943,112.9511947631836,0.11099313944578171,0.35737648606300354,0.0,0.023803995922207832,0.2986752688884735,0.3664323091506958,0.3664323091506958,nan,nan,0.10156067944619071,0.39838419909628625,0.20757799253538828,0.13910447848653293,0.08221240188105333,0.5969623475302013,0.6534696255396799,0.3104560648937762,0.15647650220358636,1.94669493298294,2.611726948874712e-16,True,0.13743257522583008
45,2.666494600001897,0.0008413238281518226,0.39483240246772766,1.2876626253128052,1.1244282722473145,78.7339096069336,0.08486718684434891,0.3209768235683441,0.0,0.019505679607391357,0.2738657295703888,0.2762759327888489,0.2762759029865265,nan,nan,0.08934193093972125,0.3843077275644867,0.18488353554689865,0.1309847016703523,0.06789738684674185,0.5646672750703793,0.6331188632351583,0.2947497051331596,0.14166710683642456,1.2992572219275236,2.6603318930426997e-16,True,0.13743257522583008
50,2.87281449999864,0.000802534179413072,0.35781794786453247,1.310136079788208,1.1288915872573853,62.16255187988281,0.0685415044426918,0.29639729857444763,0.0,0.01617548242211342,0.25040775537490845,0.20867083966732025,0.20867083966732025,nan,nan,0.0828050864954394,0.36982748121790116,0.16781880394706442,0.12284634672512748,0.06291058586453901,0.5358956339734922,0.6127612895267284,0.2769191086603711,0.11200136367682954,1.053817198865463,2.7488032401422027e-16,True,0.13743257522583008
55,3.1231849000032526,0.0007607837983149056,0.32930615544319153,1.335816740989685,1.1389093399047852,52.67734146118164,0.05628420412540436,0.28107351064682007,0.0,0.013949657790362835,0.23101706802845,0.15425321459770203,0.15425321459770203,nan,nan,0.07746130204955662,0.35973087376047025,0.15454558181574707,0.11541376288230215,0.05931940266787943,0.5104275071458186,0.5923826231647927,0.2659113669806578,0.11206738129633237,0.9317229677735825,2.816488061687054e-16,True,0.13743257522583008
60,3.364185600003111,0.0007165621699029615,0.30500730872154236,1.34847891330719,1.1405706405639648,43.19691848754883,0.04563205689191818,0.26968926191329956,0.0,0.012285907752811909,0.21389107406139374,0.1346374750137329,0.1346374750137329,nan,nan,0.07185778537470736,0.35024308970382345,0.14397836029958797,0.11100416181956156,0.052998910644019646,0.4885231180561302,0.571976962616576,0.25768356132447306,0.10672723642077418,0.8904467069921297,2.730998058863122e-16,True,0.13743257522583008
65,3.573119400003634,0.0006703877523381495,0.2845960259437561,1.3627225160598755,1.1378304958343506,36.04112243652344,0.03819546848535538,0.2610260248184204,0.0,0.010947369039058685,0.19884330034255981,0.10519438236951828,0.10519438982009888,nan,nan,0.06834803894672169,0.34082587829872,0.13602975719247243,0.10514535765130976,0.0509111251806398,0.4702573092284085,0.5518038667818413,0.2501104592732419,0.11534563494350453,0.9532291186711598,2.6545170918189227e-16,True,0.13743257522583008
