trial_id,route,fold,seed,case_id,active,perturbation,axis,relative_l2_vs_FEM,correct_relative_l2_vs_FEM,paired_error_change,prediction_shift_relative_l2,hard_BC_max_abs,correct_reconstruction_max_abs,applicable
R4_LHS_03,R4,3,20260813,V52_B_E4_C7_1T,True,P0_CORRECT,X,0.08161468726954908,0.08161468726954908,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_B_E4_C7_1T,True,P0_CORRECT,Y,0.061857959346252274,0.061857959346252274,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_B_E4_C7_1T,True,P0_CORRECT,Z,0.028883487925749053,0.028883487925749053,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_CPLUS_E5_C9_1T,True,P0_CORRECT,X,0.058513401054723635,0.058513401054723635,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_CPLUS_E5_C9_1T,True,P0_CORRECT,Y,0.06571684828197337,0.06571684828197337,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_CPLUS_E5_C9_1T,True,P0_CORRECT,Z,0.03491481780720553,0.03491481780720553,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_C_E4_C7_1T,True,P0_CORRECT,X,0.07758304789425485,0.07758304789425485,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_C_E4_C7_1T,True,P0_CORRECT,Y,0.06437996815181608,0.06437996815181608,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V52_C_E4_C7_1T,True,P0_CORRECT,Z,0.031871008289378173,0.031871008289378173,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,BASE_C3_0T,False,P1_CONSISTENT_NODE_RELABEL,X,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,BASE_C3_0T,False,P1_CONSISTENT_NODE_RELABEL,Y,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,BASE_C3_0T,False,P1_CONSISTENT_NODE_RELABEL,Z,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_A_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,X,0.12059337020208945,0.12059337306172085,-2.8596314066708928e-09,2.903733218317939e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_A_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.06267578178916745,0.06267577917449886,2.6146685927486146e-09,2.5102593781411997e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_A_E2_C5_2T,True,P1_CONSISTENT_NODE_RELABEL,Z,0.06297006867243865,0.06297005766990985,1.1002528804704426e-08,3.3105033026004094e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_B_E8_C12_2T,True,P1_CONSISTENT_NODE_RELABEL,X,0.10128141537038704,0.1012814151528862,2.1750083678551135e-10,3.4636360624062945e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_B_E8_C12_2T,True,P1_CONSISTENT_NODE_RELABEL,Y,0.04507489175394732,0.04507489823736129,-6.483413972357965e-09,3.277853863892233e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_B_E8_C12_2T,True,P1_CONSISTENT_NODE_RELABEL,Z,0.05095315567803264,0.05095315473817944,9.398531952697908e-10,4.3330098264959815e-07,0.0,1.1920928955078125e-07,True
R4_LHS_03,R4,3,20260813,V40_CPLUS_E3_C6_1T,True,P1_CONSISTENT_NODE_RELABEL,X,0.06492684211349749,0.06492685160831083,-9.494813338339902e-09,2.934004896815168e-07,0.0,1.1920928955078125e-07,True
