epoch,elapsed_s,lr,train_data_loss,train_physics_loss,selection_key,peak_vram_GiB
0,1.7006012000201736,0.0,0.0,0.0,"[6.0, 1.0062813758850098, 1.0062813758850098, 1.0106576681137085, 1.0122730731964111, 3.007701873779297, 1.0027894973754883, 0.0114465567486964, 279753]",3.8661928176879883
1,6.563771200017072,0.00019566470779968276,1.4440470018037936,0.0010334613028179574,"[6.0, 0.9674537777900696, 0.9674537777900696, 1.0006927490234374, 1.0015335083007812, 2.717912971973419, 0.9943630695343018, 0.0114465567486964, 279753]",4.089056968688965
2,10.115369700011797,0.0003913294155993655,0.989493562680919,0.0010334613028179574,null,4.089056968688965
3,13.675887400022475,0.0005869941233990482,0.5847169567899007,0.0010334613028179574,null,4.089056968688965
4,17.247433500015177,0.000782658831198731,0.4208697302312386,0.0010334613028179574,null,4.089056968688965
5,22.012451300019166,0.0009783235389984137,0.3235882159049918,0.0010334613028179574,"[4.0, 0.22539043426513672, 0.22539043426513672, 0.37343694269657135, 0.4109404683113098, 0.46390268206596375, 0.7187597751617432, 0.0114465567486964, 279753]",4.089056968688965
6,25.57568090001587,0.0009783235389984137,0.29787755866603155,0.0010334613028179574,null,4.089056968688965
7,29.12595230000443,0.0009783235389984137,0.2789986120854936,0.0010334613028179574,null,4.089056968688965
8,32.69873440000811,0.0009783235389984137,0.27285998151069735,0.0010334613028179574,null,4.089056968688965
9,36.2366073000012,0.0009783235389984137,0.26904700860017683,0.0010334613028179574,null,4.089056968688965
10,40.98549410002306,0.0009783235389984137,0.2616938697855647,0.0010334613028179574,"[1.0, 0.11569786071777344, 0.11569786071777344, 0.1609980046749115, 0.16730521619319916, 0.25978507846593857, 0.6929084658622742, 0.0114465567486964, 279753]",4.089056968688965
11,44.53864600000088,0.0009783235389984137,0.25242029184975273,0.0010334613028179574,null,4.089056968688965
12,48.12781550001819,0.0009783235389984137,0.24345439054617068,0.0010334613028179574,null,4.089056968688965
13,51.67484430002514,0.0009783235389984137,0.21239992085753417,0.0010334613028179574,null,4.089056968688965
14,55.23990169999888,0.0009783235389984137,0.19439608930814556,0.0010334613028179574,null,4.089056968688965
15,59.921332700003404,0.0009783235389984137,0.17276501682836834,0.0010334613028179574,"[1.0, 0.1345626413822174, 0.1345626413822174, 0.18446335494518282, 0.1887056827545166, 0.28833888471126556, 0.5058373808860779, 0.0114465567486964, 279753]",4.089056968688965
16,63.49146550000296,0.0009783235389984137,0.15759446562790289,0.0010334613028179574,null,4.089056968688965
17,67.06047710002167,0.0009783235389984137,0.15223484386394665,0.0010334613028179574,null,4.089056968688965
18,70.65225290000672,0.0009783235389984137,0.1390298514104471,0.0010334613028179574,null,4.089056968688965
19,74.24783830001252,0.0009783235389984137,0.13452257597591818,0.0010334613028179574,null,4.089056968688965
20,79.03438750002533,0.0009783235389984137,0.12362717709890227,0.0010334613028179574,"[0.0, 0.09727147966623306, 0.09727147966623306, 0.1509290337562561, 0.15205857157707214, 0.21032436937093735, 0.4000379741191864, 0.0114465567486964, 279753]",4.089056968688965
21,82.60045940001146,0.0009783235389984137,0.12159817202425585,0.0010334613028179574,null,4.089056968688965
22,86.15102790002129,0.0009783235389984137,0.11609324367671478,0.0010334613028179574,null,4.089056968688965
23,89.72496920000413,0.0009783235389984137,0.11220314162896901,0.0010334613028179574,null,4.089056968688965
24,93.32129900000291,0.0009783235389984137,0.10967362935586673,0.0010334613028179574,null,4.089056968688965
25,97.96965380001348,0.0009783235389984137,0.11157184666613253,0.0010334613028179574,"[1.0, 0.10182236135005951, 0.10182236135005951, 0.15198218673467637, 0.156490758061409, 0.2333948276937008, 0.3698698580265045, 0.0114465567486964, 279753]",4.089056968688965
26,101.55663230002392,0.0009783235389984137,0.10616838623110841,0.0010334613028179574,null,4.089056968688965
27,105.14991030000965,0.0009783235389984137,0.10362024459897018,0.0010334613028179574,null,4.089056968688965
28,108.72779750000336,0.0009783235389984137,0.09637615875136561,0.0010334613028179574,null,4.089056968688965
29,112.26622730001691,0.0009783235389984137,0.09333721884503597,0.0010334613028179574,null,4.089056968688965
30,116.95277890001307,0.0009783235389984137,0.09133782660270609,0.0010334613028179574,"[0.0, 0.08642809092998505, 0.08642809092998505, 0.12932465076446534, 0.13735294342041016, 0.18442844972014427, 0.3270338177680969, 0.0114465567486964, 279753]",4.089056968688965
31,120.52748109999811,0.0009783235389984137,0.08786076316382826,0.0010334613028179574,null,4.089056968688965
32,124.0949373000185,0.0009783235389984137,0.08815533109009266,0.0010334613028179574,null,4.089056968688965
33,127.66337439999916,0.0009783235389984137,0.08688938999321402,0.0010334613028179574,null,4.089056968688965
34,131.25010600002133,0.0009783235389984137,0.08798909005595416,0.0010334613028179574,null,4.089056968688965
35,135.89989630001946,0.0009783235389984137,0.09179878571048015,0.0010334613028179574,"[0.0, 0.08673610538244247, 0.08673610538244247, 0.12865938544273375, 0.13539563119411469, 0.1887269802391529, 0.31128063797950745, 0.0114465567486964, 279753]",4.089056968688965
36,139.47348050001892,0.0009783235389984137,0.0879873211336572,0.0010334613028179574,null,4.089056968688965
37,143.06721340000513,0.0009783235389984137,0.08586983037431066,0.0010334613028179574,null,4.089056968688965
38,146.63351460002013,0.0009783235389984137,0.08119794789974283,0.0010334613028179574,null,4.089056968688965
39,150.16945140002645,0.0009783235389984137,0.07854883436386179,0.0010334613028179574,null,4.089056968688965
40,154.80279730001348,0.0009783235389984137,0.07663480773931597,0.0010334613028179574,"[0.0, 0.08996619284152985, 0.08996619284152985, 0.11897034123539925, 0.12586671113967896, 0.18932737782597542, 0.29235339164733887, 0.0114465567486964, 279753]",4.089056968688965
41,158.37667660001898,0.0009783235389984137,0.07434534276949196,0.0010334613028179574,null,4.089056968688965
42,161.98953510000138,0.0009783235389984137,0.07394742034375668,0.0010334613028179574,null,4.089056968688965
43,165.57509700002265,0.0009783235389984137,0.07103946568762384,0.0010334613028179574,null,4.089056968688965
44,169.14087460000883,0.0009783235389984137,0.06976943335882048,0.0010334613028179574,null,4.089056968688965
45,173.81351870001527,0.0009783235389984137,0.07096081426957758,0.0010334613028179574,"[0.0, 0.07867054641246796, 0.07867054641246796, 0.12111882790923119, 0.13789549469947815, 0.1666923090815544, 0.2848646342754364, 0.0114465567486964, 279753]",4.089056968688965
