epoch,elapsed_s,lr,loss,qfield_loss,vfield_loss,q32_loss,v32_loss,residual_force_loss,gradient_norm,score,peak_vram_GiB,displacement_X_relative_l2,displacement_Y_relative_l2,displacement_Z_relative_l2,velocity_X_relative_l2,velocity_Y_relative_l2,velocity_Z_relative_l2,rotation_X_relative_l2,rotation_Y_relative_l2,rotation_Z_relative_l2,rotation_rate_X_relative_l2,rotation_rate_Y_relative_l2,rotation_rate_Z_relative_l2,physical_q_relative_l2,physical_qdot_relative_l2,weak_median,weak_p90,hard_BC_max_abs,finite
0,2.0214562000037404,0.0,1.125545620918274,0.33078649640083313,0.7427363395690918,0.00024708264390937984,0.20784422755241394,0.0,0.0,1.6774249936346084,1.8427715301513672,0.31212982535362244,0.16192904114723206,0.05524502322077751,0.8118172883987427,0.7402721047401428,0.5166475176811218,0.5557844042778015,0.9494305849075317,0.8037496209144592,1.0118727684020996,0.9822800755500793,0.995394766330719,0.003822756304509388,0.21985978439692658,1.1293354022526101e-07,224135.2829834465,0.0,True
1,4.343546399999468,0.00016,1.125545620918274,0.33078649640083313,0.7427363395690918,0.00024708264390937984,0.20784422755241394,0.0,5.809635162353516,1.6632793514648765,2.0436134338378906,0.31001707911491394,0.161260187625885,0.054821912199258804,0.8018302321434021,0.7393825650215149,0.5136076211929321,0.5518574118614197,0.9410470128059387,0.79976487159729,1.010897159576416,0.9818349480628967,0.9952513575553894,0.0036341797783128703,0.21227156713516257,1.0267170534884787e-07,1.8039134324050465e-07,0.0,True
5,10.399799099999655,0.0008,1.060938835144043,0.28795117139816284,0.7309262752532959,0.0002148502244381234,0.16803036630153656,5.272052476357203e-06,2.5372393131256104,1.5882381076218641,2.0436134338378906,0.28500643372535706,0.15265493094921112,0.04896906018257141,0.8026111721992493,0.7335224747657776,0.4945318400859833,0.4971056878566742,0.8232097029685974,0.7519875764846802,1.002493977546692,0.9776006937026978,0.9937776327133179,0.0026941997714658456,0.16716147893550723,1.0106640357247346e-07,1.7797376091420695e-07,0.0,True
10,18.514346600000863,0.0007978896645755696,0.9018148183822632,0.15061704814434052,0.7198424935340881,0.00016485880769323558,0.1252562403678894,5.710130062652752e-05,2.414499282836914,1.4498864449602562,2.0436134338378906,0.21208372712135315,0.13158448040485382,0.028154458850622177,0.7902795076370239,0.7282410860061646,0.48566895723342896,0.3082508444786072,0.37251561880111694,0.6716837286949158,0.991175651550293,0.9719492197036743,0.9926239252090454,0.002542381837472917,0.1468532426152907,1.027687838027935e-07,1.8184655205128114e-07,0.0,True
15,26.652868400000443,0.0007915834000556312,0.8682279586791992,0.1411096751689911,0.705505907535553,0.0001253803784493357,0.08632420748472214,0.00018436212849337608,2.6733503341674805,1.405851734797595,2.0436134338378906,0.20522573590278625,0.13146501779556274,0.024116909131407738,0.7852625846862793,0.7161543369293213,0.4734191298484802,0.28674301505088806,0.3022686839103699,0.7110424041748047,0.9746599793434143,0.9644410610198975,0.9850671887397766,0.0027003855639747207,0.10985132134364631,1.0165223680762131e-07,1.791407250388411e-07,0.0,True
20,36.688870199999656,0.0007811551416258089,0.8015879392623901,0.10756764560937881,0.6791263818740845,8.962241554399952e-05,0.059486038982868195,0.00017451892199460417,1.1775906085968018,1.36528765297971,2.0436134338378906,0.19927209615707397,0.12654967606067657,0.02451886050403118,0.7634249925613403,0.7083963751792908,0.4474121928215027,0.2777385115623474,0.3029062747955322,0.6484984755516052,0.9294180274009705,0.9592623114585876,0.9758473634719849,0.002401161581330134,0.10585815679106228,1.002951775495771e-07,1.711038883869798e-07,0.0,True
25,49.27130849999958,0.0007667271510815446,0.7346659898757935,0.09531411528587341,0.6284153461456299,6.542723713209853e-05,0.04368066415190697,0.00026343466015532613,0.5008856058120728,1.2846541781045597,2.0436134338378906,0.18486034870147705,0.1217462345957756,0.020387275144457817,0.7297745943069458,0.6948484778404236,0.3884328603744507,0.2525060772895813,0.20862998068332672,0.6342500448226929,0.832455575466156,0.9554065465927124,0.9620552062988281,0.002332728199948046,0.09759925040398235,1.0906975370228478e-07,1.9807765858432572e-07,0.0,True
30,62.62467280000419,0.0007484685834203322,0.6713789701461792,0.08577199280261993,0.5772696137428284,5.284297731122933e-05,0.03329635411500931,0.00038953637704253197,0.8953148722648621,1.2156325736221305,2.0436134338378906,0.17307280004024506,0.11609449237585068,0.019717726856470108,0.6999980211257935,0.6816949248313904,0.33619365096092224,0.2420399785041809,0.1905512809753418,0.5963082909584045,0.7488424181938171,0.9404920339584351,0.9472042918205261,0.002360041563823234,0.09088842865337682,1.0794741866198425e-07,2.2051702308327884e-07,0.0,True
35,72.42252430000372,0.0007265935036540318,0.6141562461853027,0.07324327528476715,0.533527672290802,4.951836308464408e-05,0.029491599649190903,0.00043702294351533055,0.45994648337364197,1.1464074079413595,2.0436134338378906,0.15912997722625732,0.10806556791067123,0.019346127286553383,0.6687390208244324,0.6665658950805664,0.289895623922348,0.23242370784282684,0.19492968916893005,0.5413994193077087,0.6741611361503601,0.9272242188453674,0.9281345009803772,0.0024248099020206253,0.08968131140436728,1.0555593170386861e-07,1.8322684368234347e-07,0.0,True
40,82.59178980000434,0.0007013583770923271,0.5649340152740479,0.05949754640460014,0.49891355633735657,4.77623070764821e-05,0.026043681427836418,0.0005059552495367825,0.47374245524406433,1.0757465559982293,2.0436134338378906,0.13908244669437408,0.09986568987369537,0.017224036157131195,0.642113447189331,0.6495329737663269,0.2612074017524719,0.22347748279571533,0.1689838021993637,0.4865402579307556,0.6277116537094116,0.9174829721450806,0.9073752760887146,0.0026191096782556935,0.08105672448141582,1.0433025141399268e-07,1.8866915283567474e-07,0.0,True
