outer_fold,selected_input_rank,selected_ridge_alpha,inner_selection_score,pod_rank,pod_energy,pod_orthogonality_max_abs,ridge_gram_condition,u_pooled_l2,v_pooled_l2,w_pooled_l2
0,128,1e-08,0.26568343976903175,24,0.9999029492079612,2.6226043701171875e-06,16423.722608374454,0.015407460697754755,0.01741554484812629,0.03109045499317522
1,128,1e-08,0.23113261582572528,24,0.9999062533556865,6.854534149169922e-06,16446.365875674564,0.013987608351290424,0.01777085956462825,0.03473027328208445
2,128,1e-06,0.41132175745262245,24,0.9999046131392472,4.827976226806641e-06,16540.233381389135,0.0230862339104565,0.03685968485910273,0.045063246587140504
3,128,1e-06,0.39882841145609577,24,0.9999081262304506,3.933906555175781e-06,15800.07747205535,0.02271781651788048,0.02347980569685717,0.040257642162101696
4,128,1e-08,0.1432668126303179,24,0.9999061818184567,3.933906555175781e-06,15746.226646641226,0.013762703675554523,0.023873725925429627,0.03403075757483206
