case_id,axis,reference_energy,error_energy,relative_l2,model,outer_fold
BASE_C1_0T,u,0.028697825428509967,0.0041875345819465636,0.381992387845338,B2_COMMON_SPLIT,0
BASE_C1_0T,v,109.42552540492129,0.05696946103343197,0.022817167739759853,B2_COMMON_SPLIT,0
BASE_C1_0T,w,33.049679744493304,0.041642553515916746,0.0354964603879569,B2_COMMON_SPLIT,0
V40_A_E3_C6_1T,u,0.7537923811412853,0.0035274107289393402,0.06840725189394603,B2_COMMON_SPLIT,0
V40_A_E3_C6_1T,v,296.15308562281285,0.08157521027421459,0.016596670428929948,B2_COMMON_SPLIT,0
V40_A_E3_C6_1T,w,419.99294867991813,0.27239044172360427,0.025466832534581194,B2_COMMON_SPLIT,0
V40_A_E8_C12_2T,u,0.3305463191724889,0.003890661427520036,0.10849146082766022,B2_COMMON_SPLIT,0
V40_A_E8_C12_2T,v,274.9863635150079,0.07911264729603894,0.016961621970755916,B2_COMMON_SPLIT,0
V40_A_E8_C12_2T,w,96.08111297142365,0.2025693094837672,0.04591639795829952,B2_COMMON_SPLIT,0
V40_B_E7_C11_2T,u,35.37833100274135,0.003745863835528364,0.010289809221058056,B2_COMMON_SPLIT,0
V40_B_E7_C11_2T,v,345.3324026610006,0.0744298353490745,0.014680973812996635,B2_COMMON_SPLIT,0
V40_B_E7_C11_2T,w,125.35160978042231,0.20299774263045367,0.0402421009756939,B2_COMMON_SPLIT,0
V40_CPLUS_E1_C4_2T,u,0.9245798858774886,0.006331453082174619,0.082752186167836,B2_COMMON_SPLIT,0
V40_CPLUS_E1_C4_2T,v,585.3532444031734,0.16970796676442337,0.017027155421693845,B2_COMMON_SPLIT,0
V40_CPLUS_E1_C4_2T,w,228.36052648197438,0.5159453793100197,0.04753257541090792,B2_COMMON_SPLIT,0
V40_C_E4_C7_1T,u,36.570647609749145,0.004748368613730347,0.011394778495458526,B2_COMMON_SPLIT,0
V40_C_E4_C7_1T,v,352.9170077685877,0.11647474463370905,0.01816684828341403,B2_COMMON_SPLIT,0
V40_C_E4_C7_1T,w,452.53045771884655,0.29443285968598665,0.02550757845486686,B2_COMMON_SPLIT,0
V40_C_E5_C9_1T,u,36.55391080272033,0.005884067628448394,0.012687378723881945,B2_COMMON_SPLIT,0
V40_C_E5_C9_1T,v,352.91566484330576,0.13735152664068045,0.019727919065917112,B2_COMMON_SPLIT,0
V40_C_E5_C9_1T,w,452.52966160833137,0.41980533668041703,0.03045793476447162,B2_COMMON_SPLIT,0
V52_A_E4_C7_1T,u,35.548044319205346,0.0027518230986715475,0.008798373604048981,B2_COMMON_SPLIT,0
V52_A_E4_C7_1T,v,279.7624634093946,0.05714171454749016,0.014291634865067012,B2_COMMON_SPLIT,0
V52_A_E4_C7_1T,w,412.92086835779116,0.2089680035182624,0.022496060988905612,B2_COMMON_SPLIT,0
V52_A_E5_C9_1T,u,35.53771530147927,0.0015888637642727506,0.006686495834446998,B2_COMMON_SPLIT,0
V52_A_E5_C9_1T,v,279.76293749402635,0.08315440695507831,0.0172404082485204,B2_COMMON_SPLIT,0
V52_A_E5_C9_1T,w,412.92072833059666,0.26232625535983645,0.025205048507184625,B2_COMMON_SPLIT,0
V52_B_E3_C6_1T,u,0.9048698177360672,0.0025679192770176125,0.05327183203233622,B2_COMMON_SPLIT,0
V52_B_E3_C6_1T,v,300.2795801731548,0.08359435236030187,0.01668497532540136,B2_COMMON_SPLIT,0
V52_B_E3_C6_1T,w,425.6696636737187,0.23087698133515033,0.02328916767042356,B2_COMMON_SPLIT,0
V52_B_E6_C10_1T,u,0.9048736356715706,0.004139221966151629,0.067634049441327,B2_COMMON_SPLIT,0
V52_B_E6_C10_1T,v,300.28020445616636,0.08742525032343468,0.017062988214087423,B2_COMMON_SPLIT,0
V52_B_E6_C10_1T,w,425.6697236881146,0.2657605173540428,0.02498669694993422,B2_COMMON_SPLIT,0
V52_CPLUS_E2_C5_2T,u,35.674224404764104,0.006575594723577567,0.013576575816538808,B2_COMMON_SPLIT,0
V52_CPLUS_E2_C5_2T,v,476.1050034447778,0.1862907619101146,0.019780819803285762,B2_COMMON_SPLIT,0
V52_CPLUS_E2_C5_2T,w,183.78443756991823,0.3734076196466138,0.04507515420064838,B2_COMMON_SPLIT,0
V52_CPLUS_E8_C12_2T,u,0.7351926118056269,0.004637514408013182,0.07942222853961547,B2_COMMON_SPLIT,0
V52_CPLUS_E8_C12_2T,v,475.8180415535179,0.14538484509596775,0.017479906951043976,B2_COMMON_SPLIT,0
V52_CPLUS_E8_C12_2T,w,183.6700454913229,0.36825600345401505,0.04477707814859069,B2_COMMON_SPLIT,0
V52_C_E2_C5_2T,u,35.4324050677452,0.006024067632550951,0.013039009550446103,B2_COMMON_SPLIT,0
V52_C_E2_C5_2T,v,353.8557521844584,0.0920609367208236,0.016129635932031285,B2_COMMON_SPLIT,0
V52_C_E2_C5_2T,w,130.91370650188102,0.19108439357177429,0.038204986422952926,B2_COMMON_SPLIT,0
BASE_C8_0T,u,34.982294173540694,0.003773519296354958,0.010386019742683708,B2_COMMON_SPLIT,1
BASE_C8_0T,v,109.71546321421448,0.029463404102217865,0.016387305142960034,B2_COMMON_SPLIT,1
BASE_C8_0T,w,33.1650585707382,0.02449150092924713,0.027174860055504443,B2_COMMON_SPLIT,1
V40_A_E7_C11_2T,u,35.273421557857894,0.004485535391599812,0.01127673434361948,B2_COMMON_SPLIT,1
V40_A_E7_C11_2T,v,275.2718762234769,0.07336297925683467,0.01632516420703613,B2_COMMON_SPLIT,1
V40_A_E7_C11_2T,w,96.19527325299131,0.22201109063670413,0.04804082632214744,B2_COMMON_SPLIT,1
V40_B_E2_C5_2T,u,35.39369590254271,0.005552865657813732,0.012525515989605943,B2_COMMON_SPLIT,1
V40_B_E2_C5_2T,v,345.3326484478375,0.07602482116452526,0.014837436862539525,B2_COMMON_SPLIT,1
V40_B_E2_C5_2T,w,125.35302708502132,0.1920184066747762,0.03913848564792554,B2_COMMON_SPLIT,1
V40_B_E6_C10_1T,u,1.1525648899859606,0.0022635695841034427,0.04431637533428527,B2_COMMON_SPLIT,1
V40_B_E6_C10_1T,v,322.87306940643134,0.09233652095169623,0.016911060467914036,B2_COMMON_SPLIT,1
V40_B_E6_C10_1T,w,435.47921432577294,0.33967931685461544,0.027928707415859042,B2_COMMON_SPLIT,1
V40_CPLUS_E2_C5_2T,u,35.851512493133505,0.0059976008199678086,0.012934064949619385,B2_COMMON_SPLIT,1
V40_CPLUS_E2_C5_2T,v,585.6370237047031,0.16221948547573928,0.01664321591481546,B2_COMMON_SPLIT,1
V40_CPLUS_E2_C5_2T,w,228.47502495247517,0.4897135988607966,0.04629687903441814,B2_COMMON_SPLIT,1
V40_CPLUS_E4_C7_1T,u,37.55496687299388,0.0043839616021956705,0.01080437574297326,B2_COMMON_SPLIT,1
V40_CPLUS_E4_C7_1T,v,408.2788817506833,0.19075789659504827,0.021615376483206217,B2_COMMON_SPLIT,1
V40_CPLUS_E4_C7_1T,w,483.35422573363263,0.5869977178890776,0.03484860890582855,B2_COMMON_SPLIT,1
V40_C_E3_C6_1T,u,1.6428796964987575,0.0029231513071750074,0.04218157257332131,B2_COMMON_SPLIT,1
V40_C_E3_C6_1T,v,352.6336136005207,0.1133024297912307,0.017924941953107697,B2_COMMON_SPLIT,1
V40_C_E3_C6_1T,w,452.4193465919939,0.330915529146555,0.02704506253504804,B2_COMMON_SPLIT,1
V40_C_E8_C12_2T,u,0.6130028530783229,0.003916195858847716,0.07992836956134552,B2_COMMON_SPLIT,1
V40_C_E8_C12_2T,v,426.5747826130953,0.10851102873158724,0.015949216426274507,B2_COMMON_SPLIT,1
V40_C_E8_C12_2T,w,159.78893364468578,0.30705221298430196,0.04383618656913111,B2_COMMON_SPLIT,1
V52_A_E1_C4_2T,u,0.27671078810527866,0.0015070104903911682,0.07379808495150503,B2_COMMON_SPLIT,1
V52_A_E1_C4_2T,v,236.85960295781553,0.0610877831109616,0.01605948758197663,B2_COMMON_SPLIT,1
V52_A_E1_C4_2T,w,81.68830574947165,0.16573600320649004,0.045043122201521534,B2_COMMON_SPLIT,1
V52_A_E3_C6_1T,u,0.5977685719404459,0.0010864397307386116,0.042632056285604014,B2_COMMON_SPLIT,1
V52_A_E3_C6_1T,v,279.47586448064925,0.07260651250838762,0.01611816637548914,B2_COMMON_SPLIT,1
V52_A_E3_C6_1T,w,412.8086982059677,0.2448869596894972,0.024356137092495657,B2_COMMON_SPLIT,1
V52_B_E5_C9_1T,u,35.850551702407905,0.003944799959131946,0.010489736303689807,B2_COMMON_SPLIT,1
V52_B_E5_C9_1T,v,300.56692117383005,0.10814683204748617,0.018968645042663143,B2_COMMON_SPLIT,1
V52_B_E5_C9_1T,w,425.7810427196528,0.40061121300272307,0.03067385708982866,B2_COMMON_SPLIT,1
V52_CPLUS_E1_C4_2T,u,0.735193080008228,0.004528509031524009,0.07848323823211267,B2_COMMON_SPLIT,1
